"Notes"	"State"	"State Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"Under 15 years"	"15"	"2003"	"2003"	172	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2004"	"2004"	162	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2005"	"2005"	150	Not Available	Not Available
	"Alabama"	"01"	"Under 15 years"	"15"	"2006"	"2006"	163	Not Available	Not Available
	"Alabama"	"01"	"15-19 years"	"15-19"	"2003"	"2003"	8095	157477	51.40
	"Alabama"	"01"	"15-19 years"	"15-19"	"2004"	"2004"	8126	159259	51.02
	"Alabama"	"01"	"15-19 years"	"15-19"	"2005"	"2005"	7771	161701	48.06
	"Alabama"	"01"	"15-19 years"	"15-19"	"2006"	"2006"	8537	164708	51.83
	"Alabama"	"01"	"20-24 years"	"20-24"	"2003"	"2003"	18633	163919	113.67
	"Alabama"	"01"	"20-24 years"	"20-24"	"2004"	"2004"	18581	163736	113.48
	"Alabama"	"01"	"20-24 years"	"20-24"	"2005"	"2005"	19134	163672	116.90
	"Alabama"	"01"	"20-24 years"	"20-24"	"2006"	"2006"	19766	162871	121.36
	"Alabama"	"01"	"25-29 years"	"25-29"	"2003"	"2003"	15925	142041	112.12
	"Alabama"	"01"	"25-29 years"	"25-29"	"2004"	"2004"	16212	143951	112.62
	"Alabama"	"01"	"25-29 years"	"25-29"	"2005"	"2005"	16743	147499	113.51
	"Alabama"	"01"	"25-29 years"	"25-29"	"2006"	"2006"	17989	153897	116.89
	"Alabama"	"01"	"30-34 years"	"30-34"	"2003"	"2003"	11464	153006	74.93
	"Alabama"	"01"	"30-34 years"	"30-34"	"2004"	"2004"	11044	152100	72.61
	"Alabama"	"01"	"30-34 years"	"30-34"	"2005"	"2005"	11138	149728	74.39
	"Alabama"	"01"	"30-34 years"	"30-34"	"2006"	"2006"	11007	146533	75.12
	"Alabama"	"01"	"35-39 years"	"35-39"	"2003"	"2003"	4361	159449	27.35
	"Alabama"	"01"	"35-39 years"	"35-39"	"2004"	"2004"	4445	155830	28.52
	"Alabama"	"01"	"35-39 years"	"35-39"	"2005"	"2005"	4546	154736	29.38
	"Alabama"	"01"	"35-39 years"	"35-39"	"2006"	"2006"	4804	157188	30.56
	"Alabama"	"01"	"40-44 years"	"40-44"	"2003"	"2003"	868	175672	4.94
	"Alabama"	"01"	"40-44 years"	"40-44"	"2004"	"2004"	898	174844	5.14
	"Alabama"	"01"	"40-44 years"	"40-44"	"2005"	"2005"	926	173653	5.33
	"Alabama"	"01"	"40-44 years"	"40-44"	"2006"	"2006"	914	170861	5.35
	"Alabama"	"01"	"45-49 years"	"45-49"	"2003"	"2003"	32	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2004"	"2004"	38	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2005"	"2005"	43	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2006"	"2006"	49	Not Available	Not Available
	"Alaska"	"02"	"Under 15 years"	"15"	"2003"	"2003"	15	Not Available	Not Available
	"Alaska"	"02"	"Under 15 years"	"15"	"2005"	"2005"	12	Not Available	Not Available
	"Alaska"	"02"	"15-19 years"	"15-19"	"2003"	"2003"	1051	25514	41.19
	"Alaska"	"02"	"15-19 years"	"15-19"	"2004"	"2004"	1073	25744	41.68
	"Alaska"	"02"	"15-19 years"	"15-19"	"2005"	"2005"	1038	26002	39.92
	"Alaska"	"02"	"15-19 years"	"15-19"	"2006"	"2006"	1101	26323	41.83
	"Alaska"	"02"	"20-24 years"	"20-24"	"2003"	"2003"	2907	21783	133.45
	"Alaska"	"02"	"20-24 years"	"20-24"	"2004"	"2004"	3031	22888	132.43
	"Alaska"	"02"	"20-24 years"	"20-24"	"2005"	"2005"	3051	23591	129.33
	"Alaska"	"02"	"20-24 years"	"20-24"	"2006"	"2006"	3258	24261	134.29
	"Alaska"	"02"	"25-29 years"	"25-29"	"2003"	"2003"	2661	20234	131.51
	"Alaska"	"02"	"25-29 years"	"25-29"	"2004"	"2004"	2733	20752	131.70
	"Alaska"	"02"	"25-29 years"	"25-29"	"2005"	"2005"	2915	21690	134.39
	"Alaska"	"02"	"25-29 years"	"25-29"	"2006"	"2006"	3068	22535	136.14
	"Alaska"	"02"	"30-34 years"	"30-34"	"2003"	"2003"	2081	21873	95.14
	"Alaska"	"02"	"30-34 years"	"30-34"	"2004"	"2004"	2113	21624	97.72
	"Alaska"	"02"	"30-34 years"	"30-34"	"2005"	"2005"	2062	21308	96.77
	"Alaska"	"02"	"30-34 years"	"30-34"	"2006"	"2006"	2098	21020	99.81
	"Alaska"	"02"	"35-39 years"	"35-39"	"2003"	"2003"	1051	23570	44.59
	"Alaska"	"02"	"35-39 years"	"35-39"	"2004"	"2004"	1098	22958	47.83
	"Alaska"	"02"	"35-39 years"	"35-39"	"2005"	"2005"	1055	22382	47.14
	"Alaska"	"02"	"35-39 years"	"35-39"	"2006"	"2006"	1170	22738	51.46
